seed,party,architecture,hidden_dim,private_view,val_auc,val_accuracy,test_auc,test_accuracy,test_f1
43,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.6712730222667757,0.6319772847701982,0.6636091052594412,0.6285130122674238,0.6846293239177209
43,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.6066796662794686,0.5803681226942342,0.6127359224240636,0.5892712530368622,0.649623239331511
43,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.626204487271711,0.5831675348176882,0.6150438176385032,0.5717949230661561,0.5873506019279034
43,sparse_rating_mf,sparse matrix_factorization,40,sparse train interactions,0.7367239167525489,0.6797472530768539,0.7274072980173147,0.6774377380750043,0.7390801530112979
43,masked_genres,metadata MLP with masked genres,24,partially masked movie genres,0.6847458905845325,0.6361864008558202,0.6884275150925202,0.642650043490867,0.7219661699901598
43,corrupt_user_profile,profile MLP with corrupted features,20,corrupted age/gender/occupation,0.7463454297921459,0.6873056658101798,0.742350482321798,0.6876255986242888,0.7348135699674925
43,outdated_popularity,small MLP,12,early-train popularity statistics,0.6469870645572047,0.6160006398656283,0.6502657175383024,0.6217494326191499,0.6908209796838991
43,low_degree_interaction,low-rank matrix_factorization,24,low-degree interaction subset,0.7505036043543754,0.690524989752152,0.7474729066089874,0.6894552144049749,0.7291672116281704
43,random_project_movie,random projection MLP,18,projected movie metadata,0.708097632048526,0.6633806900550885,0.6986473206983049,0.6588166485038142,0.7186117558781453
43,weak_genre_knn,weak KNN MLP,18,small-k noisy genre graph,0.7451343460844343,0.687175693104448,0.7183676145143182,0.6556373161636057,0.6701935644488703
43,highk_noisy_knn,noisy KNN MLP,18,high-k noisy genre graph,0.6723163213005653,0.6274782295717899,0.6789040623797294,0.6352715929654773,0.7225068364463411
43,partial_profile,partial profile MLP,12,age-only user profile,0.6168171303848535,0.5778986412853301,0.618804198638298,0.580828026114516,0.6199497810854175
43,shuffled_feature_diagnostic,diagnostic MLP,10,shuffled train-view features,0.6513985518791526,0.6206796572719729,0.6577485856376828,0.6278531508383239,0.6984237582690913
44,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.6117182903301551,0.5722098359344537,0.6101654947870723,0.5737095210005899,0.6076305812198624
44,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.6743811418454174,0.6229791743733816,0.679097486060416,0.6326221493486368,0.7278181676771344
44,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.6160365027923619,0.5932754121634457,0.6192249814581767,0.5974095439957608,0.6680762144985596
44,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.7507292855663219,0.6925445656412154,0.7476328384916257,0.6920396716689495,0.7390337407070087
44,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.6338081970391884,0.6081722838203977,0.6343668530910895,0.6101168754561542,0.6845032705384555
44,sparse_rating_mf,sparse matrix_factorization,40,sparse train interactions,0.5655885859069067,0.5499345137521121,0.5671932398186396,0.5513792103658232,0.6099673607398811
44,masked_genres,metadata MLP with masked genres,24,partially masked movie genres,0.6864530001753896,0.6320272742724028,0.6871341227811346,0.6396056828066106,0.730733317895586
44,corrupt_user_profile,profile MLP with corrupted features,20,corrupted age/gender/occupation,0.6836951482469997,0.6437948030913508,0.6755072955258244,0.6396506733585947,0.6949183387576657
44,outdated_popularity,small MLP,12,early-train popularity statistics,0.736475973112094,0.6788874336389358,0.7262797209605589,0.6773077653692725,0.7382722856980676
44,low_degree_interaction,low-rank matrix_factorization,24,low-degree interaction subset,0.5817618678509922,0.5635716499535097,0.5857902157994715,0.5690804930964497,0.6342444480274267
44,random_project_movie,random projection MLP,18,projected movie metadata,0.7426961198017986,0.687935533537957,0.7324923292981692,0.6817768268663581,0.7234665508253693
44,weak_genre_knn,weak KNN MLP,18,small-k noisy genre graph,0.6778793741864498,0.6334069845332481,0.6776523049435684,0.6368862538866839,0.6803439565565618
44,highk_noisy_knn,noisy KNN MLP,18,high-k noisy genre graph,0.6282478814464394,0.6042731026484438,0.6355577581116629,0.612891292828506,0.6940878098112493
44,partial_profile,partial profile MLP,12,age-only user profile,0.7470370436344496,0.6895451955089431,0.7433519855269443,0.6891102868397636,0.7381641047663554
44,shuffled_feature_diagnostic,diagnostic MLP,10,shuffled train-view features,0.6483161791811461,0.6159306545625418,0.65161450286707,0.6214844882574659,0.7002948801678244
45,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.7234118193506754,0.6724787794563142,0.7214738967132036,0.6750182461683046,0.7220369420215496
45,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.744849505558991,0.6868257665890163,0.7407363357784122,0.6867157896841664,0.7346268176390383
45,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.7355831096315472,0.6803171334019856,0.7268035831935667,0.6777826656402156,0.7346913575165364
45,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.6818882519158463,0.6291678747463033,0.6847826188489362,0.6395906859559493,0.72542948652035
45,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.6297745289058102,0.6031333419981804,0.6333699430705931,0.6078073604543046,0.678638283230862
45,sparse_rating_mf,sparse matrix_factorization,40,sparse train interactions,0.6493530322007495,0.6049929514801892,0.6486447018686515,0.6077923636036432,0.6502313720944746
45,masked_genres,metadata MLP with masked genres,24,partially masked movie genres,0.749646867566801,0.6905049939512702,0.7464182268621483,0.6903400285939952,0.7361403957148637
45,corrupt_user_profile,profile MLP with corrupted features,20,corrupted age/gender/occupation,0.5985733658127428,0.5770588176482938,0.6010927703514011,0.5816278581497886,0.6463110562660063
