dataset,setting,seed,method,source_method,topology_objective,joint_lambda,active_readout_acc,local_post_consensus_mean_acc,active_party_post_consensus_acc,local_worst_acc,local_best_acc,num_edges,peer_comm,readout_comm,total_comm,control_plane_comm,topology_eval_count,topology_update_time
DBLP,hard,46,Best Matched Sparse,best_matched_sparse,active,0.5,0.8869778513908386,0.3429156363010406,0.2432432323694229,0.2432432323694229,0.885749340057373,5,162280,97368,259648,7272000,900,0.0
DBLP,hard,42,TA-DVFG-active,adaptive_graph_val,active,0.5,0.8808353543281555,0.348730543255806,0.3722358644008636,0.2481572479009628,0.8832923769950867,5,162280,97368,259648,363600,9170,27.446522900194395
DBLP,hard,43,TA-DVFG-active,adaptive_graph_val,active,0.5,0.9054054021835328,0.3828009804089864,0.2727272808551788,0.2506142556667328,0.9176903963088988,5,162280,113596,275876,363600,9224,28.63397780014202
DBLP,hard,44,TA-DVFG-active,adaptive_graph_val,active,0.5,0.9041768908500672,0.3642915566762288,0.2874692678451538,0.2346437275409698,0.8955773711204529,6,194736,129824,324560,363600,9126,28.090403600072023
DBLP,hard,45,TA-DVFG-active,adaptive_graph_val,active,0.5,0.8943488597869873,0.3494676440954208,0.2665847539901733,0.2407862395048141,0.8968058824539185,5,162280,97368,259648,363600,9652,30.041824000072666
DBLP,hard,46,TA-DVFG-active,adaptive_graph_val,active,0.5,0.9054054021835328,0.3521703461805979,0.2702702581882477,0.2285012304782867,0.885749340057373,5,162280,113596,275876,363600,9171,28.50113519997103
DBLP,hard,42,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.8783783912658691,0.3846846749385198,0.3058967888355255,0.2420147359371185,0.8796068429946899,6,194736,129824,324560,363600,9291,28.564816800004337
DBLP,hard,43,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.9103193879127502,0.3898443857828776,0.2727272808551788,0.2567567527294159,0.9213759303092957,6,194736,129824,324560,363600,9884,31.239243699994404
DBLP,hard,44,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.8992629051208496,0.3791154682636261,0.2874692678451538,0.2346437275409698,0.8955773711204529,6,194736,129824,324560,363600,9230,28.680628500005696
DBLP,hard,45,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.9115478992462158,0.3869778792063395,0.2653562724590301,0.2493857443332672,0.8943488597869873,6,194736,129824,324560,363600,8993,27.90772469999501
DBLP,hard,46,TA-DVFG-joint-0.25,adaptive_graph_val,joint,0.25,0.9078623652458192,0.3816543747981389,0.2457002401351928,0.2248157262802124,0.8894348740577698,6,194736,146052,340788,363600,10059,31.81069980014581
DBLP,hard,42,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.8820638656616211,0.3768222679694493,0.2506142556667328,0.2358722388744354,0.885749340057373,6,194736,129824,324560,363600,9138,27.10382889996981
DBLP,hard,43,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.9176903963088988,0.3951678852240244,0.2678132653236389,0.2542997598648071,0.923832893371582,5,162280,113596,275876,363600,9236,28.762152900046203
DBLP,hard,44,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.8955773711204529,0.3778050680955251,0.2874692678451538,0.2346437275409698,0.8955773711204529,6,194736,129824,324560,363600,8862,27.38370530004613
DBLP,hard,45,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.9090908765792848,0.3839475740989049,0.262899249792099,0.2285012304782867,0.901719868183136,5,162280,113596,275876,363600,8818,26.72469509992516
DBLP,hard,46,TA-DVFG-joint-0.5,adaptive_graph_val,joint,0.5,0.8931203484535217,0.378705973426501,0.2469287365674972,0.2358722388744354,0.8906633853912354,5,162280,113596,275876,363600,8972,27.706121299881488
DBLP,hard,42,TA-DVFG-joint-0.75,adaptive_graph_val,joint,0.75,0.8869778513908386,0.3710073630015055,0.2604422569274902,0.2420147359371185,0.8869778513908386,5,162280,97368,259648,363600,9299,27.89927869994426
DBLP,hard,43,TA-DVFG-joint-0.75,adaptive_graph_val,joint,0.75,0.9152333736419678,0.3850941777229309,0.4938574731349945,0.2493857443332672,0.923832893371582,5,162280,81140,243420,363600,9280,28.747575999994297
DBLP,hard,44,TA-DVFG-joint-0.75,adaptive_graph_val,joint,0.75,0.8931203484535217,0.3701883653799693,0.273955762386322,0.2358722388744354,0.8894348740577698,6,194736,129824,324560,363600,8928,27.86338819994125
DBLP,hard,45,TA-DVFG-joint-0.75,adaptive_graph_val,joint,0.75,0.8943488597869873,0.3821457803249359,0.2616707682609558,0.2542997598648071,0.8943488597869873,6,194736,129824,324560,363600,9443,29.189535700017583
DBLP,hard,46,TA-DVFG-joint-0.75,adaptive_graph_val,joint,0.75,0.9041768908500672,0.3733005672693252,0.2432432323694229,0.2432432323694229,0.885749340057373,5,162280,81140,243420,363600,9136,28.297422500152607
DBLP,hard,42,TA-DVFG-local,adaptive_graph_val,local_mean,0.5,0.8710073828697205,0.392055677374204,0.3058967888355255,0.2469287365674972,0.8808353543281555,8,259648,162280,421928,363600,12133,40.09480799996527
DBLP,hard,43,TA-DVFG-local,adaptive_graph_val,local_mean,0.5,0.9176903963088988,0.3900900840759277,0.273955762386322,0.2493857443332672,0.9213759303092957,6,194736,146052,340788,363600,12167,41.02120309998281
DBLP,hard,44,TA-DVFG-local,adaptive_graph_val,local_mean,0.5,0.8918918967247009,0.388288277387619,0.2874692678451538,0.2567567527294159,0.8931203484535217,8,259648,162280,421928,363600,12067,40.64721089985687
DBLP,hard,45,TA-DVFG-local,adaptive_graph_val,local_mean,0.5,0.898034393787384,0.3854217817385991,0.2665847539901733,0.2346437275409698,0.8992629051208496,8,259648,178508,438156,363600,12197,41.40719209983945
DBLP,hard,46,TA-DVFG-local,adaptive_graph_val,local_mean,0.5,0.8931203484535217,0.3821457783381144,0.2923832833766937,0.2579852640628814,0.8845208883285522,8,259648,178508,438156,363600,11631,38.804522300022654
