dataset,seed,method,best_val,test_at_best_val,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges
DBLP,43,adaptive_pair,0.8703703880310059,0.8587223291397095,0.8320978456761126,0.8771498799324036,0.8550368547439575,0,454384,14
DBLP,43,adaptive_complementarity,0.8617284297943115,0.8685503602027893,0.848098486268976,0.8685503602027893,0.8390663266181946,0,486840,15
DBLP,43,adaptive_graph_val,0.9049383401870728,0.8931203484535217,0.8823941738116596,0.9041768908500671,0.8931203484535217,0,162280,5
DBLP,44,local_uniform_vote,0.6061728596687317,0.6105651259422302,0.5086747940843883,0.6363636255264282,0.6167076230049133,0,0,0
DBLP,44,local_reliability_vote,0.859259307384491,0.8697788715362549,0.8565490776955373,0.8820638656616211,0.8820638656616211,0,0,0
DBLP,44,fixed_ring,0.8580247163772583,0.8636363744735718,0.8472663704456148,0.8734643459320068,0.8734643459320068,0,486840,15
DBLP,44,random_regular,0.8444444537162781,0.8501228094100952,0.8353187756056524,0.8611793518066406,0.8574938178062439,0,486840,15
DBLP,44,expander,0.869135856628418,0.8796068429946899,0.8658310017964364,0.8796068429946899,0.8771498799324036,0,486840,15
DBLP,44,full_mesh,0.8580247163772583,0.8771498799324036,0.861728519444777,0.8771498799324036,0.8771498799324036,0,3407880,105
DBLP,44,adaptive_pair,0.8543210029602051,0.8710073828697205,0.8523110041112556,0.8710073828697205,0.8574938178062439,0,486840,15
DBLP,44,adaptive_complementarity,0.8518518805503845,0.8550368547439575,0.8422127957852249,0.8550368547439575,0.8550368547439575,0,454384,14
DBLP,44,adaptive_graph_val,0.8925926089286804,0.901719868183136,0.8966016419910096,0.9041768908500671,0.901719868183136,0,227192,7
DBLP,45,local_uniform_vote,0.6481481790542603,0.6535626649856567,0.5701738802103913,0.6707616448402405,0.589680552482605,0,0,0
DBLP,45,local_reliability_vote,0.8641975522041321,0.8353807926177979,0.8135179973411018,0.8501228094100952,0.834152340888977,0,0,0
DBLP,45,fixed_ring,0.859259307384491,0.8390663266181946,0.8169276477187946,0.8452088236808777,0.8316953182220459,0,486840,15
DBLP,45,random_regular,0.8481481671333313,0.8292382955551147,0.8019211626590247,0.8353807926177979,0.8255528211593628,0,486840,15
DBLP,45,expander,0.8580247163772583,0.837837815284729,0.8153113083570638,0.8452088236808777,0.8316953182220459,0,486840,15
DBLP,45,full_mesh,0.8604938387870789,0.8353807926177979,0.8132659387067064,0.8464373350143433,0.8329238295555115,0,3407880,105
DBLP,45,adaptive_pair,0.8580247163772583,0.837837815284729,0.8155074189466647,0.8464373350143433,0.837837815284729,0,454384,14
DBLP,45,adaptive_complementarity,0.8543210029602051,0.8280097842216492,0.8024784313259373,0.8390663266181946,0.8353807926177979,0,454384,14
DBLP,45,adaptive_graph_val,0.9037037491798401,0.8796068429946899,0.8664980259158245,0.8869778513908386,0.8808353543281555,0,162280,5
DBLP,46,local_uniform_vote,0.6617284417152405,0.6461916565895081,0.5588368125271257,0.6535626649856567,0.6302211284637451,0,0,0
DBLP,46,local_reliability_vote,0.8913580775260925,0.8832923769950867,0.8742094855056073,0.8845208883285522,0.8746928572654724,0,0,0
DBLP,46,fixed_ring,0.888888955116272,0.885749340057373,0.8770184303240731,0.885749340057373,0.875921368598938,0,486840,15
DBLP,46,random_regular,0.8827160596847534,0.8722358345985413,0.8596493104632046,0.8722358345985413,0.8574938178062439,0,486840,15
DBLP,46,expander,0.8876543641090393,0.8832923769950867,0.8738421941025658,0.8832923769950867,0.8685503602027893,0,486840,15
DBLP,46,full_mesh,0.888888955116272,0.8845208883285522,0.8758821489616637,0.8845208883285522,0.8734643459320068,0,3407880,105
DBLP,46,adaptive_pair,0.8925926089286804,0.885749340057373,0.8774533734868843,0.885749340057373,0.8710073828697205,0,486840,15
DBLP,46,adaptive_complementarity,0.8839506506919861,0.8636363744735718,0.8483957412296633,0.8808353543281555,0.8624078631401062,0,454384,14
DBLP,46,adaptive_graph_val,0.9135802984237671,0.9041768908500671,0.8993665792333204,0.9078623652458191,0.8918918967247009,0,194736,6
