dataset,seed,method,best_val,test_at_best_val,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges
IMDB,45,local_uniform_vote,0.29603254795074463,0.29233869910240173,0.09507490929291876,0.2933467626571655,0.27217739820480347,0,0,0
IMDB,45,local_reliability_vote,0.2970498502254486,0.2852822542190552,0.18076160444866254,0.2963709533214569,0.2772177457809448,0,0,0
IMDB,45,fixed_ring,0.29603254795074463,0.29133063554763794,0.09348830712281886,0.2973790168762207,0.27620968222618103,0,739800,15
IMDB,45,random_regular,0.29603254795074463,0.29133063554763794,0.09348830712281886,0.2953628897666931,0.27318546175956726,0,739800,15
IMDB,45,expander,0.29603254795074463,0.29133063554763794,0.09348830712281886,0.2973790168762207,0.27520161867141724,0,739800,15
IMDB,45,full_mesh,0.29603254795074463,0.29133063554763794,0.09348830712281886,0.2963709533214569,0.27620968222618103,0,5178600,105
IMDB,45,adaptive_pair,0.29603254795074463,0.29133063554763794,0.09348830712281886,0.2933467626571655,0.27318546175956726,0,739800,15
IMDB,45,adaptive_complementarity,0.30111902952194214,0.2822580635547638,0.1795139141909714,0.2953628897666931,0.27620968222618103,0,739800,15
IMDB,45,adaptive_graph_val,0.3499491512775421,0.32056450843811035,0.22764036700652865,0.33467739820480347,0.30443546175956726,0,246600,5
IMDB,46,local_uniform_vote,0.29603254795074463,0.29233869910240173,0.18410450501385348,0.2953628897666931,0.2792338728904724,0,0,0
IMDB,46,local_reliability_vote,0.3031536042690277,0.2802419364452362,0.18242583907202806,0.3014112710952759,0.2782258093357086,0,0,0
IMDB,46,fixed_ring,0.3041709065437317,0.2792338728904724,0.18328436079952018,0.3014112710952759,0.2792338728904724,0,739800,15
IMDB,46,random_regular,0.3041709065437317,0.27217739820480347,0.17960072041367411,0.3024193346500397,0.2772177457809448,0,739800,15
IMDB,46,expander,0.30722278356552124,0.2802419364452362,0.18585392662554023,0.3004032075405121,0.2802419364452362,0,739800,15
IMDB,46,full_mesh,0.3041709065437317,0.29133063554763794,0.1898089015952108,0.3014112710952759,0.2782258093357086,0,5178600,105
IMDB,46,adaptive_pair,0.3092573881149292,0.27520161867141724,0.18445256790316625,0.2973790168762207,0.27419352531433105,0,690480,14
IMDB,46,adaptive_complementarity,0.30620551109313965,0.3014112710952759,0.19575635752164697,0.3014112710952759,0.27318546175956726,0,690480,14
IMDB,46,adaptive_graph_val,0.3397761881351471,0.2933467626571655,0.19844507962391147,0.3266128897666931,0.3266128897666931,0,246600,5
