dataset,seed,method,best_val,test_at_best_val,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,final_edges
DBLP,45,adaptive_graph_val,0.934567928314209,0.9103193879127502,0.9060312355857545,0.9152333736419678,0.8992629051208496,0,162280,5
DBLP,46,local_uniform_vote,0.8543210029602051,0.8550368547439575,0.8286930888412274,0.8587223291397095,0.8501228094100952,0,0,0
DBLP,46,local_reliability_vote,0.9172840118408203,0.9201474189758301,0.9145737097249478,0.9262899160385132,0.9201474189758301,0,0,0
DBLP,46,fixed_ring,0.9160494208335876,0.923832893371582,0.9194591791321212,0.9262899160385132,0.9262899160385132,0,486840,15
DBLP,46,random_regular,0.9135802984237671,0.9250614047050476,0.919599405871407,0.9250614047050476,0.9189189076423645,0,486840,15
DBLP,46,expander,0.914814829826355,0.9201474189758301,0.9148272622735716,0.9250614047050476,0.9226043820381165,0,486840,15
DBLP,46,full_mesh,0.9135802984237671,0.9164618849754333,0.910462431658919,0.9262899160385132,0.9226043820381165,0,3407880,105
DBLP,46,adaptive_pair,0.9160494208335876,0.9226043820381165,0.9169097138293669,0.9312039017677307,0.9226043820381165,0,486840,15
DBLP,46,adaptive_complementarity,0.9160494208335876,0.9250614047050476,0.9201398943426615,0.9250614047050476,0.9250614047050476,0,454384,14
DBLP,46,adaptive_graph_val,0.9296296834945679,0.9287469387054443,0.923569326353203,0.9324324131011963,0.9287469387054443,0,162280,5
