dataset,setting,seed,party,max_logit_diff,max_probability_diff,val_prediction_disagreement_count,test_prediction_disagreement_count,val_metric_diff,test_metric_diff,status
ACM,hard,45,2,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9996670484542847,408,405,0.4155628979206085,0.42009881138801575,MISMATCH
ACM,hard,45,3,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999987483024597,408,398,0.04139071702957153,0.006589800119400024,MISMATCH
ACM,hard,45,4,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9997329115867615,413,417,0.4188741445541382,0.40197697281837463,MISMATCH
ACM,hard,45,5,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.6791303157806396,386,389,0.009933769702911377,0.009884685277938843,MISMATCH
ACM,hard,45,6,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.999899685382843,420,388,0.013245046138763428,0.02800658345222473,MISMATCH
ACM,hard,45,7,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.999930739402771,406,425,0.00827816128730774,0.018121927976608276,MISMATCH
ACM,hard,45,8,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9997721314430237,395,408,0.47516557574272156,0.48929157853126526,MISMATCH
ACM,hard,45,9,UNAVAILABLE_CACHE_HAS_NO_LOGITS,1.0,209,173,0.01655629277229309,0.037891268730163574,MISMATCH
ACM,hard,45,10,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999687671661377,388,402,0.03476822376251221,0.0016474425792694092,MISMATCH
ACM,hard,45,11,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999998807907104,387,409,0.006622523069381714,0.0016474425792694092,MISMATCH
ACM,hard,45,12,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9998708367347717,400,390,0.019867539405822754,0.021416813135147095,MISMATCH
ACM,hard,45,13,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.999965488910675,387,427,0.014900654554367065,0.021416813135147095,MISMATCH
ACM,hard,45,14,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999932050704956,394,385,0.02980130910873413,0.0444810688495636,MISMATCH
ACM,hard,46,0,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.999975323677063,397,405,0.49668872356414795,0.5123558640480042,MISMATCH
ACM,hard,46,1,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9873557686805725,395,388,0.3245033025741577,0.3261944055557251,MISMATCH
ACM,hard,46,2,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.98757404088974,190,188,0.02483445405960083,0.03130149841308594,MISMATCH
ACM,hard,46,3,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999591112136841,406,388,0.06291389465332031,0.01647445559501648,MISMATCH
ACM,hard,46,4,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9870998859405518,399,401,0.3410596251487732,0.35255351662635803,MISMATCH
ACM,hard,46,5,UNAVAILABLE_CACHE_HAS_NO_LOGITS,1.0,410,396,0.014900654554367065,0.024711698293685913,MISMATCH
ACM,hard,46,6,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999659061431885,409,406,0.0049668848514556885,0.0032948851585388184,MISMATCH
ACM,hard,46,7,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999299049377441,413,398,0.028145670890808105,0.011532127857208252,MISMATCH
ACM,hard,46,8,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999414682388306,418,407,0.46192049980163574,0.4596375823020935,MISMATCH
ACM,hard,46,9,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999942779541016,382,389,0.056291401386260986,0.013179600238800049,MISMATCH
ACM,hard,46,10,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999995827674866,411,401,0.0016556382179260254,0.03130149841308594,MISMATCH
ACM,hard,46,11,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999995231628418,397,401,0.006622523069381714,0.009884655475616455,MISMATCH
ACM,hard,46,12,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999819993972778,402,400,0.009933799505233765,0.036243826150894165,MISMATCH
ACM,hard,46,13,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9998735189437866,398,403,0.03807947039604187,0.02965402603149414,MISMATCH
ACM,hard,46,14,UNAVAILABLE_CACHE_HAS_NO_LOGITS,0.9999712705612183,408,386,0.0016556382179260254,0.04283362627029419,MISMATCH
