dataset,setting,seed,method,d_ref,lr,weight_decay,epoch,train_loss,val_metric,selected_run
ACM,hard,42,Project-and-Mean,32,0.001,0.0,90,0.04028192162513733,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,91,0.039634812623262405,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,92,0.03900489583611488,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,93,0.03839167580008507,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,94,0.0377943217754364,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,95,0.03721201792359352,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,96,0.03664424642920494,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,97,0.03609045222401619,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,98,0.03554978221654892,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,99,0.03502189368009567,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,100,0.034506313502788544,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,101,0.03400253877043724,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,102,0.0335102304816246,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,103,0.03302892670035362,0.5513244867324829,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,104,0.03255819156765938,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,105,0.0320977047085762,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,106,0.03164718672633171,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,107,0.031206287443637848,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,108,0.030774712562561035,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,109,0.030352270230650902,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,110,0.029938770458102226,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,111,0.029533889144659042,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,112,0.02913738042116165,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,113,0.028749000281095505,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,114,0.028368523344397545,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,115,0.02799571491777897,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,116,0.027630310505628586,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,117,0.027272136881947517,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,118,0.026921026408672333,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,119,0.026576751843094826,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,120,0.026239151135087013,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,121,0.025908077135682106,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,122,0.025583351030945778,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,123,0.025264810770750046,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,124,0.02495228685438633,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,125,0.024645602330565453,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,126,0.02434461936354637,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,127,0.024049201980233192,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,128,0.023759180679917336,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,129,0.02347441203892231,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,130,0.02319478802382946,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,131,0.02292015589773655,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,132,0.022650396451354027,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,133,0.02238539606332779,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,134,0.022125044837594032,0.556291401386261,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,135,0.021869270130991936,0.556291401386261,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,136,0.021617954596877098,0.556291401386261,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,137,0.021370982751250267,0.556291401386261,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,138,0.021128244698047638,0.556291401386261,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,139,0.020889656618237495,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,140,0.020655136555433273,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,141,0.020424576476216316,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,142,0.020197870209813118,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,143,0.0199749618768692,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,144,0.01975574530661106,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,145,0.019540144130587578,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,146,0.019328055903315544,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,147,0.01911943592131138,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,148,0.01891418546438217,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,149,0.018712244927883148,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,150,0.018513547256588936,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,151,0.018318016082048416,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,152,0.018125584349036217,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,153,0.01793617568910122,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,154,0.017749736085534096,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,155,0.017566217109560966,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,156,0.01738555356860161,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,157,0.017207693308591843,0.556291401386261,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,158,0.017032567411661148,0.556291401386261,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,159,0.016860106959939003,0.556291401386261,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,160,0.01669025607407093,0.556291401386261,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,161,0.016522979363799095,0.556291401386261,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,162,0.01635821722447872,0.554635763168335,False
