dataset,setting,seed,method,party,d_ref,hidden_mean,hidden_std,hidden_l2_mean,hidden_l2_std,projected_l2_mean,projected_l2_std
ACM,hard,42,Project-and-Mean,0,32,0.11053860187530518,0.09407418966293335,1.1576143503189087,0.09125854820013046,0.17244510352611542,0.0949176475405693
ACM,hard,42,Project-and-Mean,1,32,0.05145268887281418,0.053225334733724594,0.5913581252098083,0.03218277543783188,0.2370128631591797,0.056700821965932846
ACM,hard,42,Project-and-Mean,2,32,0.10172266513109207,0.11994217336177826,1.256570816040039,0.06310076266527176,0.13111601769924164,0.07841292023658752
ACM,hard,43,raw_hidden,0,N/A,0.11313210427761078,0.09310415387153625,1.1690388917922974,0.08516060560941696,N/A,N/A
ACM,hard,43,raw_hidden,1,N/A,0.06418860703706741,0.057555701583623886,0.6886855959892273,0.03759799897670746,N/A,N/A
ACM,hard,43,raw_hidden,2,N/A,0.13150480389595032,0.10083859413862228,1.3164113759994507,0.15692460536956787,N/A,N/A
ACM,hard,43,raw_hidden,3,N/A,0.1941903829574585,0.19821159541606903,2.0497963428497314,0.8521687984466553,N/A,N/A
ACM,hard,43,raw_hidden,4,N/A,0.1970684975385666,0.21414516866207123,2.054777145385742,1.094675898551941,N/A,N/A
ACM,hard,43,raw_hidden,5,N/A,0.20546051859855652,0.22044599056243896,2.157688856124878,1.0752896070480347,N/A,N/A
ACM,hard,43,raw_hidden,6,N/A,0.19647979736328125,0.22172768414020538,2.100595712661743,1.0975502729415894,N/A,N/A
ACM,hard,43,raw_hidden,7,N/A,0.19432204961776733,0.2186458557844162,2.0625505447387695,1.105521321296692,N/A,N/A
ACM,hard,43,raw_hidden,8,N/A,0.19401445984840393,0.21190859377384186,2.022238254547119,1.0924980640411377,N/A,N/A
ACM,hard,43,raw_hidden,9,N/A,0.18578362464904785,0.20275481045246124,1.9603607654571533,0.9984942078590393,N/A,N/A
ACM,hard,43,raw_hidden,10,N/A,0.19313210248947144,0.19858363270759583,1.9918934106826782,0.9713035225868225,N/A,N/A
ACM,hard,43,raw_hidden,11,N/A,0.19737274944782257,0.23275691270828247,2.156122922897339,1.1452370882034302,N/A,N/A
ACM,hard,43,raw_hidden,12,N/A,0.19757318496704102,0.21316255629062653,2.0573155879974365,1.083398461341858,N/A,N/A
ACM,hard,43,raw_hidden,13,N/A,0.19281260669231415,0.20797312259674072,2.0234017372131348,1.026321291923523,N/A,N/A
ACM,hard,43,raw_hidden,14,N/A,0.19520127773284912,0.20976783335208893,2.0492656230926514,1.0272780656814575,N/A,N/A
ACM,hard,43,Project-and-Mean,0,32,0.11313210427761078,0.09310415387153625,1.1690388917922974,0.08516060560941696,0.15657787024974823,0.08893480151891708
ACM,hard,43,Project-and-Mean,1,32,0.06418860703706741,0.057555701583623886,0.6886855959892273,0.03759799897670746,0.30543282628059387,0.05527837574481964
ACM,hard,43,Project-and-Mean,2,32,0.13150480389595032,0.10083859413862228,1.3164113759994507,0.15692460536956787,0.10258316248655319,0.06434442102909088
ACM,hard,43,Project-and-Mean,3,32,0.1941903829574585,0.19821159541606903,2.0497963428497314,0.8521687984466553,0.6412526965141296,0.3549477159976959
ACM,hard,43,Project-and-Mean,4,32,0.1970684975385666,0.21414516866207123,2.054777145385742,1.094675898551941,0.6822275519371033,0.41972264647483826
ACM,hard,43,Project-and-Mean,5,32,0.20546051859855652,0.22044599056243896,2.157688856124878,1.0752896070480347,0.5514646172523499,0.37163835763931274
ACM,hard,43,Project-and-Mean,6,32,0.19647979736328125,0.22172768414020538,2.100595712661743,1.0975502729415894,0.6440938711166382,0.4418240785598755
ACM,hard,43,Project-and-Mean,7,32,0.19432204961776733,0.2186458557844162,2.0625505447387695,1.105521321296692,0.616194486618042,0.41095179319381714
ACM,hard,43,Project-and-Mean,8,32,0.19401445984840393,0.21190859377384186,2.022238254547119,1.0924980640411377,0.5021246075630188,0.3466121554374695
ACM,hard,43,Project-and-Mean,9,32,0.18578362464904785,0.20275481045246124,1.9603607654571533,0.9984942078590393,0.6302749514579773,0.3962898254394531
ACM,hard,43,Project-and-Mean,10,32,0.19313210248947144,0.19858363270759583,1.9918934106826782,0.9713035225868225,0.5290845036506653,0.381443053483963
ACM,hard,43,Project-and-Mean,11,32,0.19737274944782257,0.23275691270828247,2.156122922897339,1.1452370882034302,0.6439617872238159,0.4791070818901062
ACM,hard,43,Project-and-Mean,12,32,0.19757318496704102,0.21316255629062653,2.0573155879974365,1.083398461341858,0.5174633860588074,0.37482786178588867
ACM,hard,43,Project-and-Mean,13,32,0.19281260669231415,0.20797312259674072,2.0234017372131348,1.026321291923523,0.6170477271080017,0.36241286993026733
ACM,hard,43,Project-and-Mean,14,32,0.19520127773284912,0.20976783335208893,2.0492656230926514,1.0272780656814575,0.5587148666381836,0.357925146818161
ACM,hard,43,raw_hidden,0,N/A,0.11313210427761078,0.09310415387153625,1.1690388917922974,0.08516060560941696,N/A,N/A
ACM,hard,43,raw_hidden,1,N/A,0.06418860703706741,0.057555701583623886,0.6886855959892273,0.03759799897670746,N/A,N/A
ACM,hard,43,raw_hidden,2,N/A,0.13150480389595032,0.10083859413862228,1.3164113759994507,0.15692460536956787,N/A,N/A
ACM,hard,43,raw_hidden,3,N/A,0.1941903829574585,0.19821159541606903,2.0497963428497314,0.8521687984466553,N/A,N/A
ACM,hard,43,raw_hidden,4,N/A,0.1970684975385666,0.21414516866207123,2.054777145385742,1.094675898551941,N/A,N/A
ACM,hard,43,raw_hidden,5,N/A,0.20546051859855652,0.22044599056243896,2.157688856124878,1.0752896070480347,N/A,N/A
ACM,hard,43,raw_hidden,6,N/A,0.19647979736328125,0.22172768414020538,2.100595712661743,1.0975502729415894,N/A,N/A
ACM,hard,43,raw_hidden,7,N/A,0.19432204961776733,0.2186458557844162,2.0625505447387695,1.105521321296692,N/A,N/A
ACM,hard,43,raw_hidden,8,N/A,0.19401445984840393,0.21190859377384186,2.022238254547119,1.0924980640411377,N/A,N/A
ACM,hard,43,raw_hidden,9,N/A,0.18578362464904785,0.20275481045246124,1.9603607654571533,0.9984942078590393,N/A,N/A
ACM,hard,43,raw_hidden,10,N/A,0.19313210248947144,0.19858363270759583,1.9918934106826782,0.9713035225868225,N/A,N/A
ACM,hard,43,raw_hidden,11,N/A,0.19737274944782257,0.23275691270828247,2.156122922897339,1.1452370882034302,N/A,N/A
ACM,hard,43,raw_hidden,12,N/A,0.19757318496704102,0.21316255629062653,2.0573155879974365,1.083398461341858,N/A,N/A
ACM,hard,43,raw_hidden,13,N/A,0.19281260669231415,0.20797312259674072,2.0234017372131348,1.026321291923523,N/A,N/A
ACM,hard,43,raw_hidden,14,N/A,0.19520127773284912,0.20976783335208893,2.0492656230926514,1.0272780656814575,N/A,N/A
ACM,hard,43,Project-and-Concat,0,64,0.11313210427761078,0.09310415387153625,1.1690388917922974,0.08516060560941696,0.5944908857345581,0.0587526336312294
ACM,hard,43,Project-and-Concat,1,64,0.06418860703706741,0.057555701583623886,0.6886855959892273,0.03759799897670746,0.5499827861785889,0.01005587074905634
ACM,hard,43,Project-and-Concat,2,64,0.13150480389595032,0.10083859413862228,1.3164113759994507,0.15692460536956787,0.6567196846008301,0.06461143493652344
ACM,hard,43,Project-and-Concat,3,64,0.1941903829574585,0.19821159541606903,2.0497963428497314,0.8521687984466553,0.827800452709198,0.2869826853275299
ACM,hard,43,Project-and-Concat,4,64,0.1970684975385666,0.21414516866207123,2.054777145385742,1.094675898551941,0.9737358689308167,0.4543125629425049
ACM,hard,43,Project-and-Concat,5,64,0.20546051859855652,0.22044599056243896,2.157688856124878,1.0752896070480347,0.8358857035636902,0.41746529936790466
ACM,hard,43,Project-and-Concat,6,64,0.19647979736328125,0.22172768414020538,2.100595712661743,1.0975502729415894,0.9563660621643066,0.46669530868530273
ACM,hard,43,Project-and-Concat,7,64,0.19432204961776733,0.2186458557844162,2.0625505447387695,1.105521321296692,0.753817617893219,0.38489314913749695
ACM,hard,43,Project-and-Concat,8,64,0.19401445984840393,0.21190859377384186,2.022238254547119,1.0924980640411377,1.0883928537368774,0.5158276557922363
ACM,hard,43,Project-and-Concat,9,64,0.18578362464904785,0.20275481045246124,1.9603607654571533,0.9984942078590393,0.9433184266090393,0.460995614528656
ACM,hard,43,Project-and-Concat,10,64,0.19313210248947144,0.19858363270759583,1.9918934106826782,0.9713035225868225,0.9105961322784424,0.3545833230018616
ACM,hard,43,Project-and-Concat,11,64,0.19737274944782257,0.23275691270828247,2.156122922897339,1.1452370882034302,1.0418140888214111,0.49304619431495667
ACM,hard,43,Project-and-Concat,12,64,0.19757318496704102,0.21316255629062653,2.0573155879974365,1.083398461341858,1.104407548904419,0.4824428856372833
ACM,hard,43,Project-and-Concat,13,64,0.19281260669231415,0.20797312259674072,2.0234017372131348,1.026321291923523,0.910223662853241,0.3794713616371155
