dataset,setting,seed,method,d_ref,lr,weight_decay,val_acc,test_acc,macro_f1,best_epoch,first_loss,best_loss,param_count,party_ids,role,selected
ACM,hard,42,Gated Fusion,32,0.001,0.0001,0.3807947039604187,0.350906103849411,0.2587829585092068,39,1.1001137495040894,0.7479418516159058,31794,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Gated Fusion,32,0.0003,0.0,0.3874172270298004,0.3261944055557251,0.2751337178615051,130,1.0981957912445068,0.6577337384223938,31794,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Gated Fusion,32,0.0003,0.0001,0.4139072895050049,0.3525535464286804,0.32255545879373515,81,1.1052910089492798,0.8744085431098938,31794,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Gated Fusion,64,0.001,0.0,0.4254966974258423,0.3690280020236969,0.33409992961037266,21,1.1014132499694824,0.8552215695381165,63570,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Gated Fusion,64,0.001,0.0001,0.3973509967327118,0.34102141857147217,0.26378947950879605,16,1.094645380973816,0.9354720711708069,63570,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Gated Fusion,64,0.0003,0.0,0.443708598613739,0.37891268730163574,0.3694078499325568,57,1.1016055345535278,0.8768954277038574,63570,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Gated Fusion,64,0.0003,0.0001,0.40728476643562317,0.33937397599220276,0.26223389512868994,49,1.1021826267242432,0.9373782873153687,63570,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Gated Fusion,128,0.001,0.0,0.4486754834651947,0.4069192707538605,0.3710608447923924,4,1.0989305973052979,1.0481784343719482,127122,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Gated Fusion,128,0.001,0.0001,0.4503311216831207,0.3953871428966522,0.34282933562454865,3,1.101763129234314,1.0638482570648193,127122,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,True
ACM,hard,42,Gated Fusion,128,0.0003,0.0,0.40066224336624146,0.3476111888885498,0.3195309545809614,67,1.0999268293380737,0.670270562171936,127122,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Gated Fusion,128,0.0003,0.0001,0.3857615888118744,0.33443161845207214,0.2868441060291655,39,1.1039668321609497,0.9193512797355652,127122,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,42,Reliability-Selected Project-and-Mean,32,0.001,0.0,0.7284768223762512,0.7067545056343079,0.7113648649761458,62,1.108475685119629,0.14893414080142975,10819,"[0, 2, 1, 9, 5]",main,False
