dataset,weak_count,method,seeds,test_at_best_val_mean,test_at_best_val_std,macro_f1_mean,macro_f1_std,selected_links_mean,selected_links_std,peer_communication_mean,peer_communication_std,readout_communication_mean,readout_communication_std,topology_control_communication_mean,topology_control_communication_std,total_communication_mean,total_communication_std,candidate_evaluations_mean,candidate_evaluations_std,topology_time_seconds_mean,topology_time_seconds_std
DBLP,0,random_matched,5,0.8931203842163086,0.014473400871624803,0.8831752543412037,0.014940949054478136,3.0,0.0,97368.0,0.0,48684.0,0.0,0.0,0.0,146052.0,0.0,0.0,0.0,0.0,0.0
DBLP,0,single_party_best,5,0.8874692678451538,0.009968273756476485,0.8775664947265351,0.010295396824646372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBLP,0,topk_reliability_vote,5,0.8911547780036926,0.015316415131956333,0.8805055370529342,0.016066176608559093,0.0,0.0,0.0,0.0,48684.0,0.0,0.0,0.0,48684.0,0.0,0.0,0.0,0.0,0.0
DBLP,2,adaptive_complementarity,5,0.8874692797660828,0.013803022476517855,0.8754068673034349,0.015723708068538022,4.6,0.48989794855663565,149297.6,15900.127818354164,74648.8,7950.063909177082,4860000.0,0.0,223946.4,23850.191727531248,0.0,0.0,4.82950285999541,1.427034757824968
DBLP,2,adaptive_graph_val,5,0.8901719689369202,0.0140199875218102,0.8785338478934559,0.015108827949492358,4.2,0.39999999999999997,136315.2,12982.400000000001,74648.8,7950.063909177082,4860000.0,0.0,210964.0,17776.883326387673,8210.4,110.42572164129153,29.022814680026205,8.6798346719503
DBLP,2,adaptive_pair,5,0.8894348740577698,0.012407250047866103,0.8786402440838991,0.013175805572497512,4.0,0.0,129824.0,0.0,81140.0,0.0,4860000.0,0.0,210964.0,0.0,0.0,0.0,4.821654799983662,1.2748045432887722
DBLP,2,full_mesh,5,0.8896805763244628,0.012776412413680173,0.8785388120266491,0.013562110233469959,10.0,0.0,324560.0,0.0,81140.0,0.0,0.0,0.0,405700.0,0.0,0.0,0.0,0.0,0.0
DBLP,2,random_matched,5,0.8891891837120056,0.011690789663768176,0.8785867039577546,0.013118536505431603,5.0,0.0,162280.0,0.0,81140.0,0.0,0.0,0.0,243420.0,0.0,0.0,0.0,0.0,0.0
DBLP,2,single_party_best,5,0.8874692678451538,0.009968273756476485,0.8775664947265351,0.010295396824646372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBLP,2,topk_reliability_vote,5,0.8894348740577698,0.01374605147262533,0.8788656617927864,0.015064194978869174,0.0,0.0,0.0,0.0,81140.0,0.0,0.0,0.0,81140.0,0.0,0.0,0.0,0.0,0.0
DBLP,5,adaptive_complementarity,5,0.8825552582740783,0.01842914217865193,0.8702467700678088,0.021885042137933294,7.0,0.0,227192.0,0.0,116841.6,6491.200000000001,7776000.0,0.0,344033.6,6491.199999999999,0.0,0.0,13.186700919960277,3.848622848625002
DBLP,5,adaptive_graph_val,5,0.8869778633117675,0.016223646278643703,0.8764358167154105,0.018008953293100687,5.2,0.39999999999999997,168771.2,12982.400000000001,94122.4,6491.200000000001,7776000.0,0.0,262893.6,15900.127818354167,31693.2,379.13659807515285,144.35871270001516,52.6791159381328
DBLP,5,adaptive_pair,5,0.8791154623031616,0.015492753441880067,0.8654670986947124,0.018078603617966135,7.0,0.0,227192.0,0.0,116841.6,6491.200000000001,7776000.0,0.0,344033.6,6491.2,0.0,0.0,12.86065727998066,4.113171545530563
DBLP,5,full_mesh,5,0.8786240577697754,0.017293531494397742,0.8655636503066058,0.020282700708004767,28.0,0.0,908768.0,0.0,129824.0,0.0,0.0,0.0,1038592.0,0.0,0.0,0.0,0.0,0.0
DBLP,5,random_matched,5,0.78083536028862,0.20893277511040986,0.7590406192565564,0.2306680390440326,5.0,0.0,162280.0,0.0,110350.4,12143.923214513505,0.0,0.0,272630.4,12143.923214513505,0.0,0.0,0.0,0.0
DBLP,5,single_party_best,5,0.8874692678451538,0.009968273756476485,0.8775664947265351,0.010295396824646372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBLP,5,topk_reliability_vote,5,0.88796067237854,0.015566598769082134,0.8765899851303185,0.016509183937672547,0.0,0.0,0.0,0.0,81140.0,0.0,0.0,0.0,81140.0,0.0,0.0,0.0,0.0,0.0
DBLP,10,adaptive_complementarity,5,0.859950852394104,0.02156012066239424,0.8408273612192712,0.029507127566803466,12.0,0.0,389472.0,0.0,197981.6,6491.200000000001,12636000.0,0.0,587453.6,6491.2,0.0,0.0,38.14864408008725,15.169387549113035
DBLP,10,adaptive_graph_val,5,0.8867321610450745,0.016415995520079614,0.8757521763652001,0.01849924957362145,5.2,0.39999999999999997,168771.2,12982.400000000001,100613.6,6491.200000000001,12636000.0,0.0,269384.8,19473.6,108912.4,1435.2915522638598,649.6937391799845,231.5872347445954
DBLP,10,adaptive_pair,5,0.8604422450065613,0.02263376762852761,0.8401353073925139,0.030785820910057132,12.2,0.39999999999999997,395963.2,12982.400000000001,201227.2,7950.063909177083,12636000.0,0.0,597190.4,18924.93746990991,0.0,0.0,38.107275160010616,13.866183217510887
DBLP,10,full_mesh,5,0.8626535415649415,0.02528924185477583,0.8439807064155257,0.03516788873994972,78.0,0.0,2531568.0,0.0,210964.0,0.0,0.0,0.0,2742532.0,0.0,0.0,0.0,0.0,0.0
DBLP,10,random_matched,5,0.4412776350975037,0.22770382204620587,0.37231414756032105,0.2590338700421166,5.0,0.0,162280.0,0.0,129824.0,10263.488373842492,0.0,0.0,292104.0,10263.488373842492,0.0,0.0,0.0,0.0
DBLP,10,single_party_best,5,0.8874692678451538,0.009968273756476485,0.8775664947265351,0.010295396824646372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBLP,10,topk_reliability_vote,5,0.8886977791786194,0.015316410542417476,0.8769351092674569,0.016968532906169603,0.0,0.0,0.0,0.0,81140.0,0.0,0.0,0.0,81140.0,0.0,0.0,0.0,0.0,0.0
DBLP,15,adaptive_complementarity,5,0.8346437215805054,0.02996737421963826,0.8017594397021455,0.047878508932538845,15.0,0.0,486840.0,0.0,253156.8,7950.063909177083,17496000.0,0.0,739996.8,7950.063909177083,0.0,0.0,73.1024606200721,23.5193884557584
DBLP,15,adaptive_graph_val,5,0.8855036735534668,0.017724503305499923,0.8736999338858207,0.02005178260688441,5.2,0.39999999999999997,168771.2,12982.400000000001,107104.8,12982.399999999998,17496000.0,0.0,275876.0,25140.309496901584,233360.0,2811.5719446601397,3877.0971380800474,5006.552286596916
DBLP,15,adaptive_pair,5,0.8469287514686584,0.02963312453497603,0.8209117153196628,0.0438386939311062,15.0,0.0,486840.0,0.0,249911.2,7950.063909177083,17496000.0,0.0,736751.2,7950.063909177083,0.0,0.0,74.48085643996455,23.571455390956892
DBLP,15,full_mesh,5,0.833906614780426,0.028856962822614268,0.8009828269871522,0.04492202135683645,153.0,0.0,4965768.0,0.0,292104.0,0.0,0.0,0.0,5257872.0,0.0,0.0,0.0,0.0,0.0
DBLP,15,random_matched,5,0.8744471549987793,0.01579758974551531,0.86064543264294,0.020352779148849826,5.0,0.0,162280.0,0.0,136315.2,7950.063909177083,0.0,0.0,298595.2,7950.063909177083,0.0,0.0,0.0,0.0
DBLP,15,single_party_best,5,0.8874692678451538,0.009968273756476485,0.8775664947265351,0.010295396824646372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBLP,15,topk_reliability_vote,5,0.8916461825370788,0.01632381614427115,0.8808709140287722,0.017988519305623764,0.0,0.0,0.0,0.0,81140.0,0.0,0.0,0.0,81140.0,0.0,0.0,0.0,0.0,0.0
