seed,party,architecture,hidden_dim,private_view,val_auc,val_accuracy,test_auc,test_accuracy,test_f1
43,corrupt_user_profile,profile MLP with corrupted features,20,corrupted age/gender/occupation,0.715653736595011,0.6680497095609922,0.6949186801945967,0.6388658381739835,0.6511228087120297
43,outdated_popularity,small MLP,12,early-train popularity statistics,0.6318032821586481,0.5873466572019875,0.6227307110972025,0.5775187210685756,0.5920312032361772
43,low_degree_interaction,low-rank matrix_factorization,24,low-degree interaction subset,0.6723163213005653,0.6274782295717899,0.6789040623797294,0.6352715929654773,0.7225068364463411
43,random_project_movie,random projection MLP,18,projected movie metadata,0.5982489428324588,0.56269183471471,0.5946620258773443,0.5572079863228722,0.575119318863173
43,weak_genre_knn,weak KNN MLP,18,small-k noisy genre graph,0.7171304331016722,0.6685296087821557,0.6968364379380214,0.6408104298097399,0.653481676528885
43,highk_noisy_knn,noisy KNN MLP,18,high-k noisy genre graph,0.6179826580025868,0.576828865938153,0.6066983324542018,0.5647813959068596,0.5805251746567093
43,partial_profile,partial profile MLP,12,age-only user profile,0.7275252112476479,0.6751082272722728,0.7045648201440726,0.6461793023465072,0.6598063012184279
43,shuffled_feature_diagnostic,diagnostic MLP,10,shuffled train-view features,0.6218101611694519,0.5940152567960728,0.6276416700868056,0.6025434658721669,0.6654266958424507
44,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.6675179915016334,0.6259385529038902,0.6621928825263508,0.6186450845322482,0.6547365276778319
44,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.5942930956115714,0.5593525359674468,0.5933542570187628,0.5604273102648444,0.5934241736291884
44,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.7470370436344496,0.6895451955089431,0.7433519855269443,0.6891102868397636,0.7381641047663554
44,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.6618713044911164,0.6192399596084822,0.6581966162319104,0.6154007658391738,0.6511819805768899
44,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.6051720994585044,0.5677807660391317,0.6041973454925973,0.5698753261815019,0.604117877107824
44,sparse_rating_mf,sparse matrix_factorization,40,sparse train interactions,0.6848409010028828,0.6419451915097829,0.6869965087852222,0.6458593695323982,0.6896403678245517
44,masked_genres,metadata MLP with masked genres,24,partially masked movie genres,0.6278510402122448,0.6017136401355715,0.631649951948523,0.6079773247618,0.6814782923035057
44,corrupt_user_profile,profile MLP with corrupted features,20,corrupted age/gender/occupation,0.7426961198017986,0.687935533537957,0.7324923292981692,0.6817768268663581,0.7234665508253693
44,outdated_popularity,small MLP,12,early-train popularity statistics,0.7220877934088207,0.6747882944581638,0.721214257521051,0.6744283700422912,0.7213751561510686
